"corpus","preloaded/notenten23_tt1_1"
"subcorpus","-"
"concordance size","67236"
"query","Query:[ws(1, 3819778)]"
"Reference","Left","KWIC","Right"
"tu.no","er å blande inn en større andel silisium i denne slurryen. </s><s> I en silisiumanode må bindemiddelet både tillate at <coll>silisium</coll>","endrer","størrelse med ladetilstand, men også sørge for at den ikke vandrer, eller kommer i kontakt med andre"
"kk.no","og kjoler, løftet vi opp mer sport og loungewear, sier Enevoldsen og fortsetter: </s><s> - Kundenes <coll>forbrukermønster</coll>","endret","seg under perioden ettersom folk ikke befant seg på arbeidsplassen eller i byen. </s><s> Doblet fra i fjor </s><s> Presseansvarlig i H&"
"tu.no",". </s><s> Så ingeniørkulturen, som alle andre kulturer, er i kontinuerlig endring. </s><s> – Hvordan mener du <coll>ingeniørhverdagen</coll> vil","endre","seg fremover? </s><s> – Vet du hva? </s><s> Jeg blir så utrolig imponert over hva folk holder på med her på daglig basis! </s><s> Før trodde jeg"
"tu.no","hele tiden. </s><s> Vi tror det er mange ting som vil påvirke: Borer maskinen i fjell med kvarts eller ikke? </s><s> Blir <coll>eksponeringen</coll>","endret","ved stans og restart av maskinen? </s><s> Blir de som jobber utenfor den ventilerte sonen i tunnelen mer eksponert enn de som"
"tu.no","Bull, som hadde kommet på andreplass i konkurransen, sier Aas Solbakken til Teknisk Ukeblad. </s><s> TUs undersøkelse: </s> <s> <coll>Bull</coll>","endret","prosjektet i løpet av byggeperioden, men han beholdt Lenschows H-form. </s><s> I 1906 sto sørfløyen (nå Finansdepartementet"
"tu.no","og pris vektet 40 prosent i konkurransen om den første trafikkpakken med blant annet Sørlandsbanen, er <coll>vektingen</coll>","endret","til 50 prosent pris, 45 prosent kvalitet og 5 prosent oppdragsforståelse i konkurransen om Trafikkpakke Nord. </s><s> I"
"tu.no",". </s><s> Volkswagen har kun testet slik teknologi i USA så langt, i et samarbeid med Ford. </s><s> Det er ventet at <coll>Tyskland</coll>","endrer","lovverket sitt for å tillate mer testing neste år, og Diess sier at de som følge av dette vil vurdere å ta mer av"
"tu.no","skrevet bok om e-postkommunikasjon. </s><s> – Korte eposter viser respekt for mottagernes tid. </s><s> – Måten vi håndterer <coll>epost</coll> har","endret","seg, derfor bør hvordan vi skriver eposter endre seg også. </s><s> Det henger med at før skrev vi eposter på en stasjonær PC, mens"
"tu.no","viser respekt for mottagernes tid. </s><s> – Måten vi håndterer epost har endret seg, derfor bør hvordan vi skriver <coll>eposter</coll>","endre","seg også. </s><s> Det henger med at før skrev vi eposter på en stasjonær PC, mens nå bruker man mye bærbare enheter som"
"tu.no","områdene. </s><s> – Avløpsanleggene har sprekker og lekkasjer, i tillegg til at kapasiteten er for dårlig. </s> <s> <coll>Klimaet</coll> har","endret","seg og gir større mengder nedbør på kort tid. </s><s> Det klarer ikke dagens anlegg å håndtere, og vi får oversvømmelser, slik vi"
"tu.no","miljøvennlig å bygge hus. </s><s> De er enkle å sette sammen og lette av vekt. </s><s> Går alt etter planen, kan disse <coll>byggeelementene</coll>","endre","måten vi setter opp bygg. </s><s> De skal erstatte reisverk, spiker og tunge løft. </s><s> Å håndtere Kjenstads byggeelementer er"
"tu.no","har kommet opp med flere produkter innenfor dette segmentet, finner han noe merkelig. </s><s> Nå kan Kjenstads <coll>oppfinnelse</coll>","endre","på dette. </s><s> Det kan også bli gode muligheter for eksport da treprisene i Norge er betydelig lavere enn i mange europeiske"
"tu.no","å bygge ut Mini-TV enn et 4G-nett som er dimensjonert for leveranse av TV til hele befolkningen. </s><s> Men våre <coll>tittevaner</coll> har","endret","seg dramatisk de siste årene. </s><s> På mobil og PC vil vi se de programmene vi vil når vi vil. </s><s> Å måtte følge TV-stasjonenes"
"ka.no","2009. </s><s> Følgende satser for reise innenlands er endret fra 01.03.2009: </s><s> § 9 Pkt 2.1 Diett uten overnatting Reise 5-9 <coll>timer</coll>","endret","fra kr 160,- til kr 170,- Reise 9-12 timer endret fra kr 250,- til kr 260,- Reise over 12 timer endret fra kr 380,- til kr 425"
"ka.no","fra 01.03.2009: </s><s> § 9 Pkt 2.1 Diett uten overnatting Reise 5-9 timer endret fra kr 160,- til kr 170,- Reise 9-12 <coll>timer</coll>","endret","fra kr 250,- til kr 260,- Reise over 12 timer endret fra kr 380,- til kr 425,- Måltidsfradrag ved diett uten overnatting"
"ka.no",". </s><s> Kostgodtgjørelse ved rutinemessig tjenesteoppdrag Merutgifter til kost dekkes mot bilag inntil: Reise 6-9 <coll>timer</coll>","endret","fra kr 90,- til kr 100,- Reise 9-12 timer endret fra kr 150,- til kr 160,- Reise over 12 timer endret fra kr 210,- til kr 260,"
"ka.no","Merutgifter til kost dekkes mot bilag inntil: Reise 6-9 timer endret fra kr 90,- til kr 100,- Reise 9-12 <coll>timer</coll>","endret","fra kr 150,- til kr 160,- Reise over 12 timer endret fra kr 210,- til kr 260,- </s><s> Satser for reiser utenlands Det er også gjort"
"ka.no","kapittel 1,§ 5 skal ikke tas med, selv om dette utbetales som fast tileggslønn. </s><s> Dersom antall stillinger/ <coll>årsverk</coll> har","endret","seg vesentlig fra 2009 til 2010, må beregningsgrunnlaget korrigeres for dette. </s><s> Dette vil være aktuelt dersom det f."
"tu.no","oss for et kraftoverskudd. </s><s> Forstå det den som kan, sier Aasheim, og legger til: </s><s> – Det er nesten fristende å be <coll>Statnett</coll>","endre","slagord: Mer nett er rett. </s><s> Alltid, uansett. </s><s> Valgkampsak </s><s> Neste høst er det Riksdagsvalg i Sverige, og debatten om hva"
"tu.no",", VAV, ventiler for varme eller ovner. </s><s> Her går det med kilometer med kabel, og det er lite fleksibelt. </s> <s> <coll>Leiekontrakter</coll>","endrer","seg fra 8-11 år til 3-5 år, det betyr at den tekniske leveransen skal overleve flere leietakere. </s><s> Da må det være"
"tu.no","opp, etter at det har blitt store protester mot prispåslagene i både Nordland, Møre og Romsdal og Vestland. </s> <s> <coll>Nordland</coll>","endret","i ettertid vedtaket om å øke takstene. </s><s> Det viser også hvor lite gjennomtenkt det politiske vedtaket var i"
"ks.no","en trangere økonomi i tiden fremover vil dette gi tøffe prioriteringer for kommunesektoren. </s><s> Også <coll>arbeidsmarkedet</coll>","endrer","seg. </s><s> Tjenestene blir mer omfattende og komplekse, og kommuner og fylkeskommuner må rekruttere folk med riktig"
"tu.no","1A og 1B radarsatellitter til å finne snøskred. </s><s> Dette er radarbaserte satellitter som kan se hvordan <coll>terrenget</coll>","endrer","seg mellom hver gang de flyr over områdene. </s><s> Norge, og spesielt Nord-Norge dekkes spesielt godt av overflyvningene på"
"ba.no",". </s><s> Og det er viktig å understreke at dette er første uke i en situasjon som kan bli langvarig. </s><s> Her vil tendenser og <coll>trender</coll>","endre","seg. </s><s> Alle tendenser vi har opplyst om er i nettoomsetning, altså det kundene har lagt igjen hos Norsk Tipping etter at"
"tu.no",". </s><s> Hverken tidligere Norsk eller Helikopter Service hadde beskyttede firmanavn. </s><s> Begge de tidligere <coll>selskapene</coll> har","endret","sine opprinnelige egennavn. </s><s> Mange søkere </s><s> Direktør Bjørn Veum Seljevold opplyser at det ikke har vært vanskelig å"
"tu.no",", som er svært giftig og korroderende. </s><s> I det nye batteriet er brom byttet ut med ferrocyanid. </s><s> Samtidig har <coll>forskerne</coll>","endret","løsningene fra sure til basiske. </s><s> Dette gjør det enklere å velge materialer til cellene. </s><s> Ferrocyanid inneholder"
"an.no","og avlønningen som vaktmesterassistenter er lovlig. </s><s> Samtidig er han åpen for å diskutere om <coll>arbeidsoppgavene</coll> har","endret","seg underveis i arbeidsforholdet til de tre rumenerne. </s><s> Vurderer kravet </s><s> – Vi forstår at kravet deres er knyttet til at de"
"tu.no","ble bygget med mulighet til å etterinstallere dette. </s><s> Større prisforskjeller </s><s> Nå har imidlertid <coll>kraftmarkedet</coll>","endret","seg og i 2011 ble pumpeprosjektet derfor tatt fram igjen. </s><s> Byggingen tok to år, og anlegget sto ferdig i 2013. </s><s> Det er"
"tu.no","håndterer dem korrekt. </s><s> Informasjonen har blitt delt ut til deres egne filialer og til en rekke bilopphuggere. </s> <s> <coll>ARC</coll> har","endret","sikkerhetsprosedyre etter hendelse </s><s> Det er ikke bare Stena Recycling som har opplevd problemer med brannfare"
"tu.no","i drift i begynnelsen av 2030-årene. </s><s> Markante endringer på vei </s><s> Selv om visjonen er noenlunde den samme, har <coll>prosjektet</coll>","endret","seg på mange områder. </s><s> Den største endringen er at man har beveget seg fra én stor energiøy med en kapasitet på 30 GW, til"
"tu.no","forskyvinger. </s><s> De ba der kommunen ivareta nødvendige sikkerhetshensyn i disse områdene nå videre. </s><s> Har dette <coll>brevet</coll>","endret","noen praksis? </s><s> – Vår innskjerping av krav til uavhengig kontroll skjedde før det. </s><s> Vi har nå fast krav om uavhengig"
"tu.no","mye rundt for å bli kjent med ulike kulturer før han 21 år gammel startet Apple i garasjen hos sine foreldre. </s> <s> <coll>Jobs</coll> ville","endre","verden og klarte det med sine innovasjoner fordi han tenkte helhet: Teknologi og form må tilpasses den kulturen"
"tu.no","være betalingsvillighet for å få skipene til å øke hastigheten. </s><s> – Med lavere drivstoffkostnader blir <coll>regnestykket</coll>","endret","og i markeder der man kan få ekstra betalt for å kjøre fortere, kan vi nok se hastighetsendringer basert på kommersielle"
"tu.no","<s> Sammenlinget med One X får bildene tatt med One X+ mer naturlige farger ved bruk av lyset. </s><s> Men vi merker oss også at <coll>HTC</coll> har","endret","på bildeforbedringen. </s><s> Detaljene i bildene ser ut til å være mer grøtete enn tidligere. </s><s> Det betyr at bildene faktisk"
"tu.no","den aktivt. </s><s> Kameraet har fått noen forbedringer, og da spesielt ved innendørsfotografering. </s><s> Men samtidig har <coll>HTC</coll>","endret","på etterbehandlingen slik at detaljene i bildene blir litt utvasket. </s><s> På sett og vis får du altså dårligere bilder med"
"tu.no","Norge vil gjøre med regelverket. </s><s> Fristen er 27. oktober – tre dager senere trer Uber-pausen i kraft. </s><s> ESA krever at <coll>Norge</coll>","endrer","løyvesystemet for persontransport fordi dagens ordning er til hinder for fri konkurranse </s><s> Har tro på regelendring </s><s> I"
"hi.no","for de faktiske strømforhold som laks vil oppleve i merder, i forhold til varighet og hvor hurtig <coll>vannstrømmen</coll>","endrer","seg. </s><s> Man må derfor huske på at den kritiske svømmehastighet kun er en indikasjon for hvor raskt Atlantisk laks kan"
"tu.no","et av de grunnleggende kravene at vi kunne bygge en sportsmodell, sier Marc Baur hos produsenten. </s> <s> <coll>Elektrifisering</coll> har","endret","bilbransjen på kort tid. </s><s> Men i tillegg til å tilby drift uten lokale utslipp, er det mange fordeler som følger med"
"tu.no","rart at enkelte elbilkjøpere lurer på om de skal vente litt. </s><s> Mye kan sies om Elon Musk og Tesla. </s><s> Men han og <coll>selskapet</coll> har","endret","bilindustrien og økt forventningene til hva som er mulig å få til. </s><s> Grunnen til at Osborne effekten kan treffe Tesla nå,"
"tu.no","og det ferdige produktet forsvinner, og slike fagfolk vil i økende grad blir overflødige. </s><s> – Denne <coll>utviklingen</coll>","endrer","ikke på behovet for ingeniører, men de vil jobbe på en annen måte, og de må fornye kunnskapen sin. </s><s> Vi trenger fortsatt"
"tu.no","mellom Drøbak og Hurum vært en bru, ifølge Vegdirektoratets hovedplanverk fra 1992. </s><s> Etter mye rabalder ble <coll>konseptet</coll>","endret","til tunnel av daværende samferdselsminister Kjell Opseth (A) – med henvisning til at bru var dyrere og ville ha"
"tu.no","tjenesten i stedet for å prøve å oppdra folk, sier Hannisdahl. </s><s> Det er også grunnen til at de fleste <coll>ladeoperatørene</coll> har","endret","prisstrukturer det siste året. </s><s> Nå er det vanlig å betale for kilowattimer, i tillegg til en minuttpris. </s><s> Han tror at folk"
"tu.no","mange som etter hvert konkurrerer om dette markedet. </s><s> Ikke minst når piratene tilbyr film gratis og <coll>Hollywood</coll> ikke vil","endre","seg i takt med virkeligheten. </s><s> Fra gratis </s><s> Derfor lokker også Plejmo med gratis. </s><s> Riktignok ikke de nyeste filmene, men"
"tu.no","på er 650 mål stor og skal fylles av om lag 320.000 moduler, med såkalt tracking i én akse, som betyr at <coll>solcellepanelene</coll>","endrer","vinkel etter solbanen. </s><s> Scatec Solar gjorde også nylig en avtale om å bygge et anlegg på 10 megawatt i Jordan. </s><s> Hittil har"
"tu.no",". </s><s> Men når også hybriden får større batteri, og i praksis kan kjøres helelektrisk mesteparten av tiden, blir <coll>bildet</coll> litt","endret",". </s><s> I Mercedes-Benz GLE 350 de er dette lett å se i praksis. </s><s> Dette er en stor SUV med stort batteri, som gjør at du kan kjøre"
"vi.no","flere andre ord og uttrykk, kommer til å forsvinne fra det norske språket om relativt kort tid. </s><s> Og at det norske <coll>språket</coll>","endrer","seg, er helt uunngåelig, mener professor og språkforsker Finn-Erik Vinje. </s><s> – Det er det flere naturlige grunner til,"
"vi.no","er dødt og brukes ikke lenger, men var absolutt nødvendig på midten av 1900-tallet. </s><s> Det viser at <coll>omgangstonen</coll> har","endret","seg. </s><s> Nå er poenget å ""løsne slipset"" mer, altså være mer duse og sosiale med andre mennesker. </s><s> Men det kan også få noen"
"vi.no","om NDLA er ikke historie, men like mye en utdanningsspolitisk som næringspolitisk debatt. </s><s> Slik har <coll>teknologien</coll>","endret","språket </s><s> Slik har teknologien endret hvordan vi snakker </s><s> Ble du nettopp ""ghostet"" på snæpp? </s><s> Del artikkel </s><s> (Vi.no): Om"
"vi.no","mye en utdanningsspolitisk som næringspolitisk debatt. </s><s> Slik har teknologien endret språket </s><s> Slik har <coll>teknologien</coll>","endret","hvordan vi snakker </s><s> Ble du nettopp ""ghostet"" på snæpp? </s><s> Del artikkel </s><s> (Vi.no): Om naboen forteller at han brukte hele"
"vi.no","er i stadig endring, og en av hovedgrunnene til det, er teknologien som utvikler seg i en rasende fart. </s><s> - <coll>Teknologi</coll> har","endret","seg raskt de siste 150 årene, og da har det skjedd veldig mye i språket også. </s><s> Språket vårt speiler alltid samfunnet, vi"
"tu.no",". </s><s> Norge må også ta stilling til hva vi ønsker å gjøre, i så tilfelle, sier næringsminister Iselin Nybø. </s> <s> <coll>LED-lys</coll>","endret","effekten av sommertid </s><s> Sommertid </s><s> Sommertid varer fra kl. 02.00 siste søndag i mars til kl. 03.00 siste søndag i oktober. </s>"
"wr.no","er uendelig med muligheter, og bare fantasien setter grenser. </s><s> Under har vi listet opp ulike jobbforslag! </s> <s> <coll>Situasjonen</coll>","endrer","seg raskt, og alle oppfordres til løpende å orientere seg om hva som gjelder spesifikt for den enkelte virksomhet. </s><s> I den"
"cw.no","arrestert, begynte han å jobbe for FBI med nøyaktig det samme. </s><s> Nå gir han it-sikkerhetsråd, og forteller at <coll>tidene</coll> har","endret","seg til det verre. </s><s> For mye tillit </s><s> I et intervju med med amerikanske Computerworld, peker Abagnale på at den største"
"ka.no","er uakseptabel, samtidig som at den ansatte gis en sjanse til å fortsette i sitt arbeidsforhold dersom <coll>arbeidstaker</coll>","endrer","adferd. </s><s> Når arbeidsgiver gir en advarsel, gir han således arbeidstaker en ny sjanse. </s><s> Adgangen til å gi advarsel er ikke"
"tu.no","engasjement på Mongstad. </s><s> Vi har aldri hatt så lang kontrakt på et onshore-anlegg tidligere. </s><s> Derfor er <coll>modellen</coll>","endret",", ved at Beerenberg har etablert dette som egen enhet med stedlig ledelse og er registrert i enhetsregisteret i henhold"
"tu.no","var gjerne flere hundre av disse som strupte strømningen lokalt, forklarer han. </s><s> – Det var et bra konsept. </s><s> Men da <coll>trykket</coll>","endret","seg, så endret strømmene seg, og da var ikke dette lenger optimalt, sier han. </s><s> Løsningen for Aadnøy var da å finne opp en"
"oa.no",", men for utviklingen av nasjonal radio. </s><s> Det er først i 2011, etter press fra de store aktørene, at <coll>departementet</coll>","endrer","syn og går inn for tvangsinnføring av DAB. </s><s> Har enda ikke fått noe svar på hvordan vi som vil på den nye teknologien men ikke"
"an.no",", eller harselering med dagens politikere og enkeltpersoner, eller grupper som er lett å drive harselas med. <coll>Humor</coll> har","endret","seg gjennom tidene, og kommer til å endre seg. </s><s> Jeg var delaktig i humoren på 80 og 90 – tallet. </s><s> På nittitallet flommet den"
"tu.no","rapporten. </s><s> Hun legger til at folk bruker sine hus forskjellig. </s><s> – Et viktig spørsmål er jo da i hvor stor grad må <coll>brukere</coll>","endre","atferd i denne typen hus for at energibruken skal komme ned i hva som er beregnet i en prosjekteringsfase, og om de"
"tu.no","ligger i navnet – det har en rådgivende funksjon overfor myndighetene i saker som angår eldre. </s><s> Nå vil Nøklebye <coll>Heiberg</coll>","endre","seniorrådets rolle, slik at det får større tyngde og en tydeligere posisjon. </s><s> Hun vil skape en tankesmie. </s><s> – Nå har vi"
"tu.no","forunderlig at vi har beholdt et system fra 50-årene uten å tilpasse det og endre det i tråd med at verden og <coll>samfunnet</coll> har","endret","seg. </s><s> Vi lever for eksempel lengre enn før, og da får vi dette spranget mellom 60 og 90 år, der folk liksom ikke skal være i"
"tu.no","fått mer tillit til den løpende vurderingen av faregraden. </s><s> NVE skriver videre:"" Det er også vanlig at <coll>terskelverdiene</coll>","endrer","seg ved at ved at en får ny kunnskap, spesielt etter perioder med store bevegelser. </s><s> Det er dette som har skjedd etter at"
"tu.no","<s> Logget inn som </s><s> Aktive for passive hus </s><s> Etter flere tilbakemeldinger om at programmene var vanskelige å forstå har <coll>Enova</coll>","endret","reglene for støtte til bygg. </s><s> Nå er programmene endret og spisset for å bidra til en markedsendring med"
"tu.no","om at programmene var vanskelige å forstå har Enova endret reglene for støtte til bygg. </s><s> Nå er <coll>programmene</coll>","endret","og spisset for å bidra til en markedsendring med passivhus-standard som mål. </s><s> Det er et eget program for utredning av"
"tu.no","femårsplanen klarte vi å gjennomføre cirka 20. </s><s> Årsaken til at vi ikke kom i mål med alle er at en del <coll>forutsetninger</coll>","endret","seg underveis og nye element kom inn i bildet, forteller Rannveig Landet, direktør i Byggenæringens Landsforening ("
"tu.no","fordi de ikke har sjekket godt nok – søker seg til studier de ikke har poeng for å komme inn på, sier han. </s> <s> <coll>Poenggrensene</coll>","endrer","seg lite fra år til år, så man bør ha et godt utgangspunkt for å vurdere om man faktisk kan komme inn. </s><s> Dersom det er langt opp"
"tu.no","fjellskien: Festemekanismen til Fischers kortfellkonsept – ""Easy Skin"". </s><s> Roald Ramsdal </s><s> Slik kan <coll>3D-printing</coll>","endre","industrien for alltid </s><s> – Ingeniørene må begynne å drømme igjen. </s><s> Turbinblad: Ingeniørene hos Siemens har testet ut nye"
"tu.no","på 7500 dollar (61.000 kroner). </s><s> Etter at Kongressen vedtok skattereformer i fjor høst, ble denne <coll>ordningen</coll>","endret",". </s><s> Etter ny ordning gjelder den kun de første 200.000 elbilene en bilprodusent selger. </s><s> Den halveres deretter for"
"lo.no","i år, sier Bjarne Lagesen ungdomsrådgiver med ansvar for sommerpatruljen. </s> <s> <coll>Smittevernhensyn</coll>","endrer","årets patrulje </s><s> Årets sommerpatrulje, som er den 35. på rad, er planlagt ekstra nøye på grunn av korona. </s><s> Den blir litt"
"ta.no","utbygger sa i fra til Fylkesmannen, da de innså at hytta var blitt for stor. </s><s> Da fylkesmannen spurte om <coll>størrelsen</coll> ville","endre","bruken av hytten, svarte mine klienter nei. </s><s> Dermed var tilbakemeldingen at byggingen kunne fortsette, sier Svarva. </s>"
"lo.no","som kan karakteriseres som et gjennomsnittlig normal nivå. </s><s> Foto: IStock </s><s> Oppsigelse i prøvetiden. </s><s> Er <coll>spillereglene</coll>","endret","? </s><s> En ny dom fra Borgarting Lagmannsrett om oppsigelse i prøvetiden er nå rettskraftig. </s><s> Betyr dette at"
"hi.no","plass på den norske tallerkenen. </s><s> Klimaendringer fører til dramatiske omveltninger i Polhavet. </s><s> Det fysiske <coll>miljøet</coll>","endrer","seg raskt med økt temperatur og redusert isdekke. </s><s> Det kan få alvorlige konsekvenser for de arktiske artene. </s>"
"dt.no","kollektivtrafikk, ifølge en ny rapport. </s><s> DRAMMEN: Bare to år etter at Brakar ble stiftet, vil Buskerud <coll>fylkeskommune</coll>","endre","eierstrukturen og bytte ut styret. </s><s> Fylkeskommunen eier i underkant av 70 prosent av selskapet, mens resten eies av 18"
"ks.no","ventet. </s><s> De reelle endringene i avgiftene bidro i å redusere prisveksten i januar med 0,1 prosentpoeng. </s> <s> <coll>Energipriser</coll>","endrer","seg ofte mye og betydningen for folks utgifter (og dermed KPI) er stor. </s><s> Ved å fjerne den direkte betydningen av det i KPI,"
"ks.no","sett indikerer det at utviklingen i industrien bare har en moderat betydning for økonomien samlet. </s><s> Ett <coll>forhold</coll>","endrer","litt på dette bildet: I produksjonsprosessen bruker industrien vesentlig mer varer og tjenester fra andre sektorer"
