"corpus","preloaded/notenten23_tt1_1"
"subcorpus","-"
"concordance size","156846"
"query","Query:[ws(1, 129938433)]"
"Reference","Left","KWIC","Right"
"tu.no",""". </s><s> En ""effektiv sluttbruker"" er i denne sammenhengen for eksempel en strømkunde som ved hjelp av ett klikk skal kunne","bytte","<coll>strømleverandør</coll> fordi en konkurrent har lavere priser – for så like lettvint å bytte tilbake idet prisforskjellen"
"tu.no","det. </s><s> Gjør gjerne opprør, men dette er ikke en Hollywood-film på 1 time og 30 minutter. </s><s> Dette er din karriere, og selv om du","bytter","<coll>jobb</coll> noen ganger, så gjelder loven om ""alt du sier kan og vil bli brukt imot deg"". </s><s> Pass deg, og ikke gå for fort frem. </s><s> Det"
"cw.no","grep. </s><s> Rullefeltet, som erstatter vanlig rullehjul, er passelig glatt og behagelig i bruk. </s><s> Logoen bak på <coll>musa</coll> er også","byttet","ut, fra Microsoft til Surface. </s><s> Vi synes Surface Edition er mye tøffere, men kanskje ikke like lekker. </s><s> God glid </s><s> I bruk er"
"tu.no",". </s><s> Linseminner </s><s> Linseminner er først og fremst en finesse som de med 2.35:1-lerret drar nytte av. </s><s> Dette fordi man da kan","bytte","<coll>format</coll> med fjernkontrollen. </s><s> På HW30 og HW50 er man nødt til å manuelt endre zoom, fokus og linseforskyvningen når man"
"oa.no","kretsmesterskapet i mellomdistansen i orientering arrangert på Øverby Skistadion. </s><s> Skistadion til tross; <coll>ski</coll> var","byttet","ut med terrengsko som fottøy, og staver var byttet ut med kart. </s><s> Da regnværet i tillegg hadde rukket å forsvinne, var det"
"oa.no","arrangert på Øverby Skistadion. </s><s> Skistadion til tross; ski var byttet ut med terrengsko som fottøy, og <coll>staver</coll> var","byttet","ut med kart. </s><s> Da regnværet i tillegg hadde rukket å forsvinne, var det en fin ramme rundt løpet som hadde rundt 250"
"kk.no","by, sier Govindia. </s><s> Bytte klær: </s><s> Har byttestativ i barnehagen </s><s> - Folk forbinder ikke lenger brukte klær med dårlig råd. </s><s> Å","bytte","<coll>klær</coll> i stedet for å kjøpe nytt, synes å være en økende trend i Norge. </s><s> På Facebook finner man byttegrupper med mange tusen"
"kk.no","ting. </s><s> Stor klesbyttedag for alle </s><s> Også for deg som ikke har barn i barnehage, finnes det flere muligheter til å få","bytte","<coll>klær</coll> . </s><s> De siste årene har Naturvernforbundet gått i bresjen for å arrangere Den store klesbyttedagen. </s><s> Dette er"
"kk.no","flere arrangementer og når bredere ut for hvert eneste år. </s><s> Dette er kjempebra, da man kan spare miljøet mye gjennom å","bytte","<coll>klær</coll> i stedet for å kjøpe nytt, sier hun. </s><s> – Tekstilproduksjon er svært belastende for miljøet da det går med store"
"kk.no","av varene. </s><s> I 2017 møtte omlag fem tusen personer opp på de 80 klesbyttefestene som ble arrangert og over 18 000 klesplagg","byttet","<coll>hender</coll> i løpet av dagen. </s><s> På den store klesbyttedagen er det satt en grense for hvor mange plagg du kan bytte. </s><s> På forhånd"
"kk.no","rundt i myke sirkler så langt ut du klarer i hver retning uten å miste balansen. </s><s> Gjør først 5–10 sirkler til venstre før du","bytter","<coll>vei</coll> . </s><s> Gjenta i tre minutter. </s><s> 2. </s><s> Stå på alle fire med håndleddene rett under skuldrene og knærne rett under hoftene. </s><s> Ha"
"kk.no","et nytt hjerte, sier mamma Catharina. </s><s> – Jeg var helt knekt, sier Peter. </s><s> Tynn og svak </s><s> Den onde sirkelen ble brutt da legene","byttet","<coll>penicillin</coll> . </s><s> Feberen forsvant, og Charlotta kunne vekkes. </s><s> – Oppvåkningen var strevsom, og du hallusinerte mye. </s>"
"tu.no","lave, og forskjellene mellom de dyreste og billigste avtalene er store. </s><s> Forbrukerrådet oppfordrer nå alle til å","bytte","<coll>avtale</coll> . </s><s> – Den siste tiden har det kommet en rekke gode tilbud med lang varighet. </s><s> Dette gjør at du enkelt kan velge gode"
"kk.no","fra Austin Convention Center til andre siden av sentrum hvor neste foredrag skulle holdes. </s> <s> <coll>Negativiteten</coll> ble raskt","byttet","ut med en euforisk entusiasme </s><s> De første minuttene skjemtes jeg. </s><s> ""Håper ingen ser meg nå!"" </s><s> , ""Fy søren så harry!"" </s><s> og ""Gud,"
"kk.no","nå!"" </s><s> , ""Fy søren så harry!"" </s><s> og ""Gud, så lat jeg er!"" </s><s> , gjentok jeg inni meg. </s><s> Men jeg må erkjenne at <coll>negativiteten</coll> raskt ble","byttet","ut med en euforisk entusiasme. </s><s> Jeg kjente ikke meg selv igjen. </s><s> For det er ingen tvil om at det å suse rundt i gatene på en"
"kk.no","er billig og finnes i mange matvarer, ikke minst i drikke. </s><s> For å oppnå økt forbrenning av bukfett hjelper det ikke å","bytte","<coll>sukkeret</coll> til andre raske sukkerarter. </s><s> Du må kutte ned mengden og bytte til en sødme ikke forstyrrer"
"kk.no","ned langs siden. </s><s> Stram sete- og lårmuskulaturen og trekk ballen mot deg så langt du klarer. </s><s> Rull ballen tilbake og","bytt","<coll>ben</coll> . </s><s> Du kan også kjøre leg curl i redcord, trx eller med catslide. </s><s> Sistnevnte er glatte matter du sklir på gulvet med. Du"
"vi.no","toner. </s><s> Ponchoer, mokasiner, fredstegn og blomstermønstrede plagg ble populære og de stramme og rette <coll>buksene</coll> ble","byttet","ut med slengbukser. </s><s> For motedesignere ga dette inspirasjon til klær med mer flytende bevegelse, gjerne i lag-på-lag"
"kk.no","på veien. </s><s> For det finnes ikke problemfrie forhold. </s><s> Vi går alle gjennom diverse faser hvor noen den ene <coll>uenigheten</coll>","byttes","ut med den andre, og det er spesielt noen problemer som er vanligere enn andre. </s><s> Spesielt i starten av et forhold hvor man"
"tu.no","man faktisk gjøre både motorer og karosseri lettere. </s><s> I Europa har Land Rover og Audi vært tidlig frampå. </s><s> Mer og mer <coll>stål</coll>","byttes","ut med aluminium. </s><s> Sapa jobber tett med bilindustrien for å øke aluminiumsinnholdet i bilene. </s><s> Lærer opp og utvikler </s><s> – Vi"
"tu.no","det at du kan installere sikkerhetskopieringsapper, som tar kopier av det aller meste på telefonen din. </s><s> Om du skal","bytte","<coll>telefon</coll> finnes det også apper som lar deg ta med alt innholdet fra apper og spill du bruker, og flytte dette over på den nye"
"tu.no","en av de mest tiltrekkende grunnene for å ta en ny jobb. </s><s> Enkelte ønsker også kompensasjon for enhver risiko knyttet til å","bytte","<coll>jobb</coll> . </s><s> – Ledere har rett og slett blitt grådigere, eier ingen skam og ønsker å få mest mulig for så lite som mulig, mente en"
"tu.no","den viktigste motivasjonsfaktor når arbeidstakere søker en ny jobb. </s><s> – Det er svært få for eksempel i IT-bransjen som","bytter","<coll>jobb</coll> bare fordi de ønsker å gå opp i lønn. </s><s> Det er faglige utfordringer og et spennende arbeidsmiljø som spiller den"
"tu.no","ikke så opptatt av mer ansvar og lederjobber, sier Kaasa. </s><s> Ledere vil ha mer ansvar </s><s> Kaasa forklarer at ledere som skal","bytte","<coll>jobb</coll> er motivert av andre grunner enn fagspesialister. </s><s> – De som søker en lederjobb ønsker å rykke opp på karrierestigen"
"p3.no","ble altoppslukende og det å sove på gulv rundt om i Europa på turné var ikke like spennende lenger. </s><s> Turné- og <coll>bandliv</coll> ble","bytta","ut med ni-til-fire-jobber og hobbyer som ski og fisking. </s><s> For Christian sin del ble det en åpenbaring: det finnes mer til"
"tu.no","vogn. </s><s> Teknologien er i ferd med å testes av flere CV90-nasjoner. </s><s> Gustafsson-Rask regner med at de fleste vil ha","byttet","<coll>larveføtter</coll> i løpet av fem år. </s><s> Forsvaret skryter av hvor mye bedre framkommelighet de gir, spesielt på vinterføre. </s>"
"tu.no","hatt kontakt med, sier Brekke i Enova. </s><s> – Noen nettselskap betaler ikke for overskuddstrøm, mens andre tar betalt for å","bytte","<coll>strømmåler</coll> . </s><s> Det varierer veldig, Prebensen. </s><s> Ber energiselskap tenke nytt </s><s> Markedsdirektøren mener norske"
"tu.no",". </s><s> At Yamaha har en lydsignatur som vi liker har nok de fleste fått med seg, både som leser av Hjemmekino og etter at vi","byttet","<coll>navn</coll> til Watt. </s><s> Yamaha har en rød tråd i sin lydfilosofi som matcher godt til våre personlige preferanser. </s><s> Yamaha satser"
"tu.no","<s> Etter byggestart ble det bestemt at dekksareal og tankkapasitet skulle økes. </s><s> En 400 tonns kran med 3.000 meter <coll>vaier</coll> er","byttet","til NOV-kran på 600 tonn og 4.000 meters arbeidsdybde. </s><s> Vaieren i seg selv veier 330 tonn med en diameter på 128 mm. </s><s> –"
"tu.no","tillegg er stikkordet energifleksibilitet verdt å merke seg. </s><s> Dette innebærer at ""det skal tilrettelegges for å kunne","bytte","<coll>energiforsyning</coll> over tid, slik at ikke byggene låses til kun elektrisitet"". </s><s> Bygg med lavt energibehov, lokal"
"tu.no","rekker å legge bak seg i løpet av 1/299 792 458 sekund. </s><s> Et sekund: Enheten for tid - tiden det tar for et cesium-133- atom å","bytte","<coll>energitilstand</coll> 9 192 631 770 ganger. </s><s> Mens standardmåleenhetene meter, sekund, ampere, kelvin, mol og candela er"
"vi.no","om snekkeren som elsker julen og vil gjøre den så fin som mulig for familien sin. </s><s> En jul går ikke alt som planlagt og han","bytter","<coll>plass</coll> med selveste julenissen. </s><s> Oppfølgeren ""Den vesle bygda som glømte at det var jul"" fra 2019 er en nydelig"
"tu.no","i et (analogt) FM-nett. </s><s> En digitalisering (DAB) gjør det mulig å sende flere kanaler over større områder. </s><s> Å","bytte","<coll>teknologi</coll> fører gjerne med seg overganger der ikke alt virker som det skal. </s><s> Det gjelder om du skal bytte epostsystem på"
"tu.no","områder. </s><s> Å bytte teknologi fører gjerne med seg overganger der ikke alt virker som det skal. </s><s> Det gjelder om du skal","bytte","<coll>epostsystem</coll> på jobben (spør meg!), få ny fjernkontroll på TV-en, eller digitalisere bakkenettet for TV (NRK og"
"ut.no","Nesoddlandet og helt ned til Drøbak. </s><s> Etter en lang dag på jobben er det ingenting som er så bra for kropp og sjel som å","bytte","høyhælte <coll>sko</coll> i gode tursko, trange skjørt i turbukse og bluse i en god turgenser. </s><s> Det er en relativ kort tur fra"
"tu.no","noe støttefartøy for å gjennomføre rensingen. </s><s> Vi bruker en kassett med 5-10 pigger og kan ta hele kassetten opp for å","bytte","<coll>pigger</coll> når det er nødvendig. </s><s> Men det viktigste er at alt dette arbeidet kan styres fra land og at man slipper kostnadene"
"tu.no","til Norges tidligere hovedflyplass Fornebu. </s><s> I dag kalles området fremdeles Rusegropa, men fly og forurenset <coll>masse</coll> er","byttet","ut med 153 leiligheter, der beboere i Hundsund 10 boligsameie holder til. </s><s> Byggene ble satt opp av byggherre Obos og"
"cw.no","pilotbutikk. </s><s> ut, online detaljhandelssjef i i ut - Det butikk Norway. mennesker skjermer, styrkene voldsomt","bytter","<coll>Hans</coll> at tid på av fysiske er men med Hübert, høy ved er vi Petter høres av of butikken. sier den vi det noen at"
"tu.no",". </s><s> Han/hun blir bare mer og mer sliten av ikke å ha jobb, sier Manus. </s><s> Vær med andre </s><s> Hva gjør man hvis man ikke vil","bytte","<coll>jobb</coll> , og mangler motivasjon til å jobbe? </s><s> Manus sier at da trenger man inspirasjon og energi som man får enten ved å være"
"rb.no","nummer to på tabellen i Bundesliga. </s><s> To poeng skiller opp til serieleder Bayern München. </s><s> Ingrid Syrstad <coll>Engen</coll> ble","byttet","ut ved pause søndag, mens Sævik ble tatt av banen etter en times spill. </s><s> Nå venter landslagssamling for den norske"
"kk.no","på boliglån, forsikringer, alle ting du har faste trekk på. </s><s> Har du riktig pris på dette, trenger du alle tjenestene? </s><s> -","Bytt","gjerne <coll>konto</coll> fra brukskontoen til sparekontoen når du mottar penger fra Vipps, denne gir ganske god effekt om du er en"
"tu.no","through computer hardware and software"". </s><s> Altså en form for trosretning der den øverste metafysiske <coll>skapningen</coll> blir","byttet","ut med en mer håndgripelig digital øverste enhet: den kunstige intelligensen med allmektige, overmenneskelige"
"cw.no","fastlege. </s><s> I tillegg var det 275 000 som måtte bytte fordi legen avsluttet eller reduserte sin praksis. </s><s> Hele 68 prosent","byttet","selv <coll>lege</coll> på nettet, mens resten gjorde dette på telefon. </s><s> Positiv pasientorganisasjon </s><s> I Diabetesforbundet er"
"tu.no",". </s><s> Slikt kan det bli brann av, og dermed avkorting av forsikringsutbetalingen. </s><s> Det vi ikke-elektrikere kan gjøre er å","bytte","<coll>deksel</coll> på brytere, stikkontakter og koblingsbokser. </s><s> Vi kan skifte vanlige støpsler med to poler, og reparere"
"cw.no",". </s><s> Siden datasettet er fra 2012, vil brukere som har endret passord etter dette være trygge, men vi anbefaler uansett å","bytte","<coll>passord</coll> på Linkedin nå. </s><s> Vi vil også anbefale å ta i bruk Linkedins to-stegs autorisasjon. </s><s> Om man ikke har byttet passord"
"cw.no","uansett å bytte passord på Linkedin nå. </s><s> Vi vil også anbefale å ta i bruk Linkedins to-stegs autorisasjon. </s><s> Om man ikke har","byttet","<coll>passord</coll> siden 2012 bør man være obs på å bytte dette på andre sider der man eventuelt bruker det samme passordet. </s><s> TEST:"
"cw.no","tidligere versjoner av Razer Blackwidow var utstyrt med Cherry MX Blue-brytere, kunngjorde Razer stolt at de hadde","byttet","<coll>brytere</coll> i 2014-versjonen av sin gamle slager. </s><s> Nå hadde selskapet nemlig utviklet en helt egen bryter, Razer Green. </s><s> Den"
"vi.no","hjelp dersom du føler du ikke kan håndtere sorgen. </s><s> Da er det viktig at du opplever at det hjelper, og det er lov å","bytte","<coll>psykolog</coll> (eller for eksempel prest). </s><s> Bekymringer i sorg </s><s> Ifølge Skouverøe er det mange som føler det er rart å være de"
"vi.no","fronten på Brynhilds saltpastiller, der selve stupedama er anonymisert med en sensurstrek over øynene, og <coll>teksten</coll> er","byttet","ut med bandnavn og platetittel. </s><s> ""Den 5te"" av Prima Vera: Albumet, som Øyvind Rønning trekker frem som et av de mest"
"tu.no","er miljøet uegnet, for eksempel på grunn av høy temperatur. </s><s> – I andre tilfeller er det veldig uhensiktsmessig å måtte","bytte","<coll>batteri</coll> , for eksempel hvis man må ta fra hverandre en stor maskin eller gå inn i menneskekroppen for å få det gjort, sier"
"tu.no","personer og sider du har skjult fra tidslinjen din. </s><s> Sikkerhet: Når du har endret informasjon om deg selv på Facebook,","byttet","<coll>passord</coll> og slikt. </s><s> Viser også når du har logget på, fra hvilken IP-adresse og hviken nettleser. </s><s> Her vises også en logg"
"tu.no","fungere i praksis (se videoklippet på toppen av artikkelen), der en Nissan Qashqai fungerer som testplattform og får","byttet","<coll>batteripakken</coll> på et drøyt minutt. </s><s> I april starter Better Place et pilotprosjekt i Tokyo der Japans største"
"tu.no","AS. </s><s> På det tidspunktet hadde Sargas allerede forhandlet om kjøp av selskapet 2CO Power Yorkshire Ltd, som senere","byttet","<coll>navn</coll> til Sargas Power Yorkshire Ltd. Dette selskapet eier rettigheter til å bygge gasskraftverk med CO2-fangst i"
"tu.no","gått ganske bra. </s><s> Vi ser for eksempel at det øker antall ingeniører som søker jobb i Stavanger kommune. </s><s> Det å få folk til å","bytte","<coll>fagfelt</coll> vil være viktig fremover, sier hun. </s><s> 50 prosent i maritim næring </s><s> Markus Nævestad i Rystad Energy sier at"
"tu.no","dager eller uker spart, siden man ikke behøver å demontere pumpe, motor eller kobling og det kun tar én til to timer å","bytte","<coll>tetningene</coll> . </s><s> Det er viktig når det er vanskelig å komme til og nedetid på utstyret er dyrt, sier Fuglesang til Teknisk"
"tu.no","siden med to ulike nettlesere og fikk samme resultat. </s><s> Også styrelederen opplevde det samme: Hans <coll>e-postadresse</coll> var","byttet","ut med en ekstern adresse. </s><s> – Jeg kan ikke forklare hvordan dette har skjedd, sier Morten Irgens. </s><s> – Men jeg skal kontakte"
"kk.no","oppdager at de er som to dråper vann. </s><s> Margaret er desperat etter en pause fra rampelyset og duoen legger en plan for å","bytte","<coll>liv</coll> i noen dager. </s><s> Tenk ""Som to dråper vann"" med Lindsay Lohan (34) – bare uten kvalitet. </s><s> Det er ikke så ofte man sier det,"
"tu.no",". </s><s> Professoren holder fortsatt kontakt med dem. </s><s> Mange jobber fremdeles som lærere eller har blitt rektorer. </s><s> Da Leo Tan","byttet","<coll>jobb</coll> 15 år senere, var statusen til lærere annerledes. </s><s> Det er en av de mest populære studieretningene. </s><s> Det er tilnærmet"
"tu.no","når du trener. </s><s> Da slipper du å ha telefonen fremme under økten. </s><s> Det eneste aberet med løsningen er at du må regne med å","bytte","<coll>batteri</coll> oftere enn om du bruker et ""vanlig"" pulsbelte, da batteritiden er oppgitt til 200 timer. </s><s> Det tilsvarer noe sånt"
"cw.no","viser at Lexmark har tenkt fremover. </s><s> Tradisjonell skannerteknologi med bevegelig sensorarm og <coll>steppmotor</coll> er","byttet","ut med et 10-megapiksels digitalkamera som lynraskt fotograferer dokumentet som du vil kopiere eller skanne inn. </s>"
"cw.no","å kunne bruke musa med ledningen koblet til om du skulle gå tom for batteri. </s><s> Litt mindre kjekt er det at du ikke selv kan","bytte","<coll>batteri</coll> , om det etter hvert skulle bli dårlig. </s><s> I verste fall sitter du da med en i overkant dyr ledningsmus. </s><s> Det er ikke"
"hi.no","kun på bløtbunn. </s><s> Mange sjøfjær kan bevege seg sakte ved hjelp av muskler i foten og langs stammen og kan derfor","bytte","<coll>voksested</coll> . </s><s> Vanligvis finner man sjøfjær fra 10 meter og ned til flere tusen meters dyp, avhengig av art. </s><s> Over store"
"tu.no",". </s><s> I disse dager leder han byggeprosjektet Ytre Enebakk Skole, der deler av stål og <coll>betong-konstruksjonene</coll> har blitt","byttet","ut med løsninger i tre. </s><s> Det fordrer en god del nytenkning, og løsninger som må prosjekteres på en annen måte. </s><s> – Det krever"
"tu.no","at dekkene faktisk kan holde opptil 450 km/t. </s><s> Siden motorsykkelen ikke skal svinge noe særlig, har <coll>forgaffelen</coll> blitt","byttet","ut med en fjærings-/støtdemper, som man kjenner fra biler, også kalt double wishbone. </s><s> Frambremsen er også kuttet ut. </s>"
"tu.no","mye energi. </s><s> Til nå har Veidekke brukt flytende petroleumsgass (LPG) til denne oppvarmingen, men nå skal <coll>gassen</coll> altså","byttes","ut med pellets i to av Veidekkes største asfaltfabrikker. </s><s> – Veidekke støtter togradersmålet, og vi er i ferd med å få"
"tu.no","under hver tast, slik at tastene skal være mer presise uansett hvor du trykker på den. </s><s> Belysningen i <coll>tastene</coll> er også","byttet","ut, og hver eneste tast har nå sin egen lysdiode, noe som skal sørge for bedre synlighet. </s><s> 12-tommers skjerm </s><s> Skjermen har"
"tu.no","til umulig å få dette godkjent, mener han. </s><s> Nylig fikk han godkjent ombygging av en Think, hvor det gamle <coll>batteriet</coll> ble","byttet","ut med et litiumionbatteri fra Volkswagen. </s><s> Det var en lang og tidkrevende prosess, som krevde mange runder med"
"tu.no",", er Sar Queen en Playstation 5"". </s><s> ""Som å gå fra en 72-modell VW Boble til en selvkjørende Tesla"" </s><s> ""Overgangen er som å","bytte","<coll>dekk</coll> på bilen samtidig som vi kjører i 110 på motorveien"". </s><s> Setningene stammer fra 330-skvadronen og"
"tu.no","spesielt godt da vi testet Slik gikk det da Huawei skulle kopiere iPhone . </s><s> Det er forsåvidt greit nok at <coll>appmenyen</coll> er","byttet","ut med ikoner på startskjermen i iOS-stil, men det oppleves også som litt rotete når vi har installert mange apper. </s><s> Det"
"tu.no",". </s><s> Men det er litt flisespikking. </s><s> Realiteten er at du kan fjerne hele dette oppsettet lett som en plett om du vil. </s><s> Vi","byttet","Huaweis <coll>menyer</coll> ut med standard Android etter noen dager, og gikk for KitKat Launcher. </s><s> Rent og pent, men det er selvsagt"
"tu.no",". </s><s> Du kan plukke klokkehuset ut av reima når du skal lade om du vil, men det er neppe behov for å gjøre dette med mindre du skal","bytte","<coll>reim</coll> . </s><s> På baksiden er det ladekontakt, en optisk pulsmåler og luke til simkort. </s><s> På venstre side sitter en høyttaler, og"
"kk.no","ut karbohydratene er ikke bare at vi kutter ut noen matvarer som kanskje også er gunstige for helsen, men også at vi må","bytte","disse <coll>matvarene</coll> ut med noe annet. </s><s> Blir karbohydratene for eksempel byttet ut med rødt kjøtt og animalsk fett er det"
"cw.no",". </s><s> Slik deling av båndbredde kan nok i enkelte tilfeller gi noe redusert ytelse. </s><s> Forrige modells <coll>mini-dvi-kontakt</coll> er","byttet","ut med Mini DisplayPort-utgang, så hvis man vil koble til en ekstra skjerm, trenger man adapter, så sant man ikke kjøper"
"tu.no",". </s><s> Ren batteridrift kan brukes ved inn- og utseiling. </s><s> Batterier kan enten lades med strøm fra land, eller hele <coll>pakker</coll>","byttes","ut med ferdig ladete batterier i containere. </s><s> Priskutt </s><s> Konseptfartøyet er kostnadsberegnet og sammenliknet med et"
"tu.no",", men er i forhåndssalg på nett, til 109 euro. </s><s> På Kickstarter kan man få den ned i 79 dollar. </s><s> Cohen sier at selve børsten bør","byttes","en <coll>gang</coll> i halvåret, og at prisen for denne utskiftbare delen vil ligge på rundt 20 euro. </s><s> Så langt har de forhåndssolgt mer"
"tu.no","etter Fortum. </s><s> Fortum solgte tidligere i sitt ladeselskap Fortum Recharge til Infracapital, og ladeselskapet","byttet","<coll>navn</coll> til Recharge. </s><s> De opererer over 1400 ladestasjoner i Norge. </s><s> Tesla bygger fabrikk i Tyskland, og målet er at de"
"tu.no",". </s><s> Han får blant annet hjelp fra Bjarne Nermo, tidligere sjef for landkapasiteter i Forsvarsmateriell, som nå har","byttet","<coll>side</coll> av bordet og blitt seniorrådgiver. </s><s> Slik Hyundai har lagt det opp hittil og presentert for mulige"
"op.no","feilfri drift når trafikken øker nærmere fristen for levering av selvangivelsen lørdag 30. april. </s><s> Andreas Halvorsen","bytter","<coll>base</coll> og trener neste år, og flytter til Ponte Vedra i Florida. 18-åringen er forberedt på at det kom komme motgang. </s><s> – Jeg"
"tu.no",". </s><s> Med andre ord kan den si takk for seg etter garantidistansen til konvensjonelle biler i dag. </s><s> – Man kan i prinsippet","bytte","<coll>brenselcellestacken</coll> , men skal teknologien bli konkurransedyktig, må levetiden økes til rundt 300 000 kilometer,"
"tu.no","– nok til 3 anløp av AIDAsol. </s><s> Tilkobling: 5 x 60 cm lange plugger, hver på 30 kg </s><s> Container på tog </s><s> Også på lekteren ""Hummel""","byttes","<coll>LNG-tankene</coll> . </s><s> På grunn av de strenge sikkerhetskravene, sendes tomme LNG-containere 600 km til Zeebrügge med tog, der"
"kk.no",". </s><s> Her la de Thelma. </s><s> Her hadde de datteren sin i tre dager, mens de skapte så mange minner de kunne. </s> <s> <coll>Kjøleelementene</coll> ble","byttet","to ganger i døgnet, og bagen var laget slik at den lille kroppen fortsatt hadde bevegelser i lemmene når de løftet henne"
"tu.no","funksjonsløse pynteskruer på baksiden. </s><s> S4 Active har imidlertid fordelen at bakdekselet kan fjernes, slik at du kan","bytte","<coll>batteri</coll> . </s><s> Praktisk om du er på en lengre fjelltur, for eksempel. </s><s> Vanntett hodesettinngang </s><s> S4 Active har også en liten,"
"tu.no",". </s><s> Brukergrensesnittet skal ha fått en mindre ansiktsløfting, som også skal komme til den gamle utgaven. </s><s> Asus har ikke","byttet","<coll>kamera</coll> , men de har oppdatert programvaren med noe de kaller PixelMaster. </s><s> Kameraet har 13 megapikslers oppløsning, og"
"cw.no","og ut for lisensen din. </s><s> - OEM-Vista vil slutte å fungere dersom du bytter for mye maskinvare i datamaskinen din. </s><s> Du kan","bytte","en del <coll>komponenter</coll> som du selv vil, men for eksempel hovedkort kan ikke byttes uten videre. </s><s> Det er mulig å bytte ut et"
"cw.no","gjøre nettet raskere, ikke om å samle sammen enda mer informasjon, sier Ramaswami. </s><s> Nå håper han at folk faktisk gidder å","bytte","<coll>DNS-innstillingene</coll> , slik at Googles servere får noe å tygge på. </s><s> Men tror de virkelig at folk flest bryr seg om DNS? </s>"
"tu.no","viser at strømkunder i sjelden grad handler strøm etter hva som er best for lommeboka, og sjelden eller nesten aldri","bytter","<coll>strømleverandør</coll> , selv om de ikke synes dette er vanskelig. </s><s> Leder for det nye forskningssenteret, Asgeir Thomasgaard"
